Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth
2009,Japan,Banking,240480,7827160,25270,218750,27.224632314040843,18.318511699340778,-15.766666666666662,-40.84800302858225
2009,Japan,Business Services & Supplies,57690,114430,2370,31190,83.43402225755167,73.82652286191707,13.942307692307686,-23.8525390625
2009,Japan,Capital Goods,232450,244660,11030,86760,29.664751492162655,24.06064601186553,37.189054726368155,-44.28103525785113
2009,Japan,Chemicals,170670,170600,7740,56350,42.49812139934874,39.18577139593702,35.78947368421053,-32.38540916726662
2009,Japan,Conglomerates,9610,7620,240,2320,21.954314720812174,2.281879194630876,9.090909090909083,-37.80160857908847
2009,Japan,Construction,179390,185410,4870,43870,17.156478578892376,10.831490226552699,8.948545861297541,-40.644026518739004
2009,Japan,Consumer Durables,878240,889230,40770,279830,31.60702511538691,20.19220371972319,26.457816377171216,-37.329511097175875
2009,Japan,Diversified Financials,94360,903020,5670,55070,6.465079544172392,9.377422480620146,-179.18994413407822,-63.45962444429699
2009,Japan,Drugs & Biotechnology,45820,83590,7000,88120,40.59527462411783,42.888888888888886,33.33333333333333,-13.98731088335774
2009,Japan,Food Markets,69790,49930,1460,26050,25.79307858687816,24.60693785874719,20.661157024793386,1.7180788754392884
2009,Japan,"Food, Drink & Tobacco",91730,119970,4280,53470,65.3984853948792,58.900662251655625,35.87301587301588,-37.782173609495
2009,Japan,Health Care Equipment & Services,59290,31910,1080,13390,26.959314775160603,24.115130299494368,47.94520547945205,-36.83962264150943
2009,Japan,IT Software & Services,31250,48040,1370,16840,44.34180138568129,35.93661573288058,448.00000000000006,-21.819870009285047
2009,Japan,Insurance,119670,517850,2520,47750,13.571225206415495,12.588324817914987,2.857142857142847,-38.86043533930857
2009,Japan,Materials,190000,221040,11540,64390,29.005975013579576,21.10453648915187,6.950880444856344,-47.121622731378835
2009,Japan,Media,77200,74050,1920,30470,44.029850746268664,64.4459249389296,82.85714285714285,14.894419306184004
2009,Japan,Oil & Gas Operations,249050,146270,4520,36020,45.89069181653096,29.339464143602445,16.49484536082475,-31.676783004552355
2009,Japan,Retailing,119770,78120,2420,25670,54.92174362954341,46.42924086223055,43.19526627218935,-15.94629993451212
2009,Japan,Semiconductors,17170,24550,1590,15170,-39.435626102292765,-44.01368301026226,-49.36305732484077,-66.65934065934066
2009,Japan,Technology Hardware & Equipment,683090,650210,22520,223280,26.105818933687797,21.239977624463926,41.635220125786155,-45.21005104043974
2009,Japan,Telecommunications Services,143050,207870,8540,82770,19.258024176740317,20.44150877802886,51.1504424778761,-5.7718579234972704
2009,Japan,Trading Companies,431460,471570,16860,67800,33.59135523423229,17.227235438884335,39.91701244813277,-57.956095746000244
2009,Japan,Transportation,240600,369150,10990,115010,28.135484901741492,25.16104970502475,46.33821571238348,-24.240827349976946
2009,Japan,Utilities,200120,453280,2530,154640,23.41658957755164,17.89429879317519,-69.1086691086691,2.03893104585946
2010,Japan,Banking,214940,7970800,-18320,271430,-10.620425815036594,1.8351483807664604,-172.49703205381874,24.082285714285725
2010,Japan,Business Services & Supplies,89950,161450,1360,94030,55.919570116137976,41.090623088350966,-42.616033755274266,201.47483167681946
2010,Japan,Capital Goods,212880,224140,2610,145620,-8.419014841901484,-8.387149513610726,-76.33726201269265,67.84232365145229
2010,Japan,Chemicals,143970,140900,-1430,68990,-15.644225698716818,-17.40914419695193,-118.47545219638242,22.431233362910376
2010,Japan,Construction,190360,187770,140,71340,6.115168069569088,1.2728547543282565,-97.1252566735113,62.616822429906534
2010,Japan,Consumer Durables,697490,768740,-9710,382580,-20.58093459646566,-13.54992521619829,-123.81653176355162,36.718722081263635
2010,Japan,Diversified Financials,78840,799700,-7480,101210,-16.447647308181434,-11.441607051892543,-231.92239858906527,83.78427455965137
2010,Japan,Drugs & Biotechnology,71620,87820,2890,95900,56.30728939327805,5.060413925110652,-58.71428571428572,8.828869723104859
2010,Japan,Food Markets,73470,51790,1250,26070,5.272961742369975,3.72521530142198,-14.383561643835618,0.07677543186179747
2010,Japan,"Food, Drink & Tobacco",101450,110980,2250,72520,10.596315273084045,-7.493540051679581,-47.429906542056074,35.62745464746586
2010,Japan,Health Care Equipment & Services,48280,23910,570,16240,-18.569741946365326,-25.070510811657787,-47.22222222222222,21.284540702016443
2010,Japan,IT Software & Services,3500,3400,250,4930,-88.8,-92.9225645295587,-81.75182481751825,-70.72446555819478
2010,Japan,Insurance,110620,464210,-1300,55480,-7.562463441129774,-10.358211837404651,-151.58730158730157,16.188481675392662
2010,Japan,Materials,202920,214920,3930,92160,6.800000000000006,-2.7687296416938123,-65.94454072790295,43.12781487808665
2010,Japan,Media,72260,62800,0,35070,-6.398963730569951,-15.19243754220122,-100.0,15.096816540859859
2010,Japan,Oil & Gas Operations,234190,128770,-3330,38200,-5.9666733587632965,-11.964175839201474,-173.67256637168143,6.052193225985558
2010,Japan,Retailing,126520,83990,850,42960,5.635801953744668,7.514080901177667,-64.87603305785123,67.35488897545774
2010,Japan,Semiconductors,12830,22620,390,23670,-25.276645311589984,-7.861507128309575,-75.47169811320755,56.03164139749506
2010,Japan,Technology Hardware & Equipment,539310,513970,-19580,270750,-21.04847091891259,-20.953230494763233,-186.94493783303733,21.260300967395196
2010,Japan,Telecommunications Services,170350,257880,8260,120960,19.08423628102063,24.058305671814107,-3.2786885245901676,46.13990576295759
2010,Japan,Trading Companies,440910,433290,11600,118470,2.1902377972465636,-8.117564730580828,-31.198102016607354,74.7345132743363
2010,Japan,Transportation,213140,337390,7410,119400,-11.413133832086453,-8.603548692943253,-32.575068243858055,3.8170593861403423
2010,Japan,Utilities,217470,456700,-240,150890,8.669798121127315,0.7545005294740559,-109.48616600790513,-2.42498706673564
2011,Japan,Banking,190392,8508400,15969,284019,-11.420861635805347,6.744617855171375,-187.16703056768557,4.638028220904111
2011,Japan,Business Services & Supplies,104991,176892,4250,92747,16.721511951083933,9.564571074636108,212.5,-1.3644581516537246
2011,Japan,Capital Goods,160381,199476,2941,164370,-24.66131153701616,-11.003836887659501,12.681992337164761,12.875978574371661
2011,Japan,Chemicals,121619,148250,1441,74920,-15.52476210321595,5.216465578424412,-200.76923076923077,8.595448615741418
2011,Japan,Construction,175130,187870,2031,80189,-8.000630384534569,0.053256643766319556,1350.7142857142858,12.40398093636108
2011,Japan,Consumer Durables,1165081,1406979,11595,726702,67.03909733472881,83.02403933709708,-219.4129763130793,89.94772335197867
2011,Japan,Diversified Financials,40651,783482,2113,47891,-48.43860984271943,-2.0280105039389817,-128.24866310160428,-52.681553206204924
2011,Japan,Drugs & Biotechnology,138050,128381,6880,109733,92.75342083216978,46.18651787747665,138.06228373702422,14.424400417101158
