Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2012,1,Exxon Mobil,Oil & Gas Operations,United States of America,433526,41060,331052,407411,NorthAmerica
2012,2,JPMorgan Chase,Banking,United States of America,110838,18976,2265792,170140,NorthAmerica
2012,3,General Electric,Conglomerates,United States of America,147300,14151,717242,213741,NorthAmerica
2012,4,Royal Dutch Shell,Oil & Gas Operations,Netherlands,470171,30918,340525,227597,Europe
2012,5,ICBC,Banking,China,82591,25058,2039078,237401,Asia
2012,6,HSBC Holdings,Banking,United Kingdom,102021,16209,2549994,164312,Europe
2012,7,PetroChina,Oil & Gas Operations,China,310090,20575,304669,294726,Asia
2012,8,Berkshire Hathaway,Diversified Financials,United States of America,143688,10254,392647,202160,NorthAmerica
2012,9,Wells Fargo,Banking,United States of America,87597,15869,1313867,178710,NorthAmerica
2012,10,Petrobras-Petróleo Brasil,Oil & Gas Operations,Brazil,145915,20121,319410,179998,SouthAmerica
2012,11,BP,Oil & Gas Operations,United Kingdom,375517,25700,292457,147376,Europe
2012,12,Chevron,Oil & Gas Operations,United States of America,236286,26895,209474,218020,NorthAmerica
2012,13,China Construction Bank,Banking,China,68692,20459,1637782,201941,Asia
2012,14,Citigroup,Banking,United States of America,102587,11067,1873878,107528,NorthAmerica
2012,15,Gazprom,Oil & Gas Operations,Russia,117624,31672,302552,159751,Europe
2012,16,Wal-Mart Stores,Retailing,United States of America,446950,15699,193406,208359,NorthAmerica
2012,17,Volkswagen Group,Consumer Durables,Germany,221862,21456,328699,79536,Europe
2012,18,Total,Oil & Gas Operations,France,216207,15936,212960,132449,Europe
2012,19,Agricultural Bank of China,Banking,China,62429,14394,1563946,154813,Asia
2012,20,BNP Paribas,Banking,France,119003,7854,2539104,61530,Europe
2012,21,Bank of China,Banking,China,60834,15842,1583657,129053,Asia
2012,22,Apple,Technology Hardware & Equipment,United States of America,127841,32982,138681,545968,NorthAmerica
2012,23,Banco Santander,Banking,Spain,109596,6947,1624724,75604,Europe
2012,24,Sinopec-China Petroleum,Oil & Gas Operations,China,391447,11634,179826,104171,Asia
2012,25,Toyota Motor,Consumer Durables,Japan,228494,4910,358341,147937,Asia
2012,26,Samsung Electronics,Semiconductors,South Korea,142397,11529,133695,161965,Asia
2012,27,ConocoPhillips,Oil & Gas Operations,United States of America,230859,12436,153230,98767,NorthAmerica
2012,28,Vodafone,Telecommunications Services,United Kingdom,73532,12769,239163,131161,Europe
2012,29,ENI,Oil & Gas Operations,Italy,143164,8926,178698,97649,Europe
2012,30,Itaú Unibanco Holding,Banking,Brazil,75546,7427,426426,91176,SouthAmerica
2012,31,China Mobile,Telecommunications Services,Hong Kong,81706,19478,151207,216510,Asia
2012,32,IBM,IT Software & Services,United States of America,106916,15855,116433,238696,NorthAmerica
2012,33,AT&T,Telecommunications Services,United States of America,126723,3944,270344,187289,NorthAmerica
2012,34,Pfizer,Drugs & Biotechnology,United States of America,67425,10009,188002,165395,NorthAmerica
2012,35,Procter & Gamble,Consumer Durables,United States of America,85142,10097,134311,185233,NorthAmerica
2012,36,Mitsubishi UFJ Financial,Banking,Japan,53331,7014,2478846,74510,Asia
2012,37,Daimler,Consumer Durables,Germany,138006,7341,188699,66334,Europe
2012,38,American Intl Group,Insurance,United States of America,64237,17798,555773,50269,NorthAmerica
2012,39,ING Group,Insurance,Netherlands,139000,7469,1652958,35850,Europe
2012,40,Nestlé,"Food, Drink & Tobacco",Switzerland,89171,10114,119362,205417,Europe
2012,41,Statoil,Oil & Gas Operations,Norway,111640,13149,127833,88974,Europe
2012,42,Microsoft,IT Software & Services,United States of America,72052,23468,112243,273539,NorthAmerica
2012,43,Banco Bradesco,Banking,Brazil,79803,5920,397074,65294,SouthAmerica
2012,44,Ford Motor,Consumer Durables,United States of America,136264,20213,178348,47547,NorthAmerica
2012,45,AXA Group,Insurance,France,132813,5613,947820,40616,Europe
2012,45,Nippon Telegraph & Tel,Telecommunications Services,Japan,123969,6131,226576,60816,Asia
2012,47,Commonwealth Bank,Banking,Australia,49533,6853,713661,81594,Oceanic
2012,47,GDF Suez,Utilities,France,117452,5185,275248,58329,Europe
2012,49,BHP Billiton,Diversified Metals & Mining,Australia,71739,23648,102891,187531,Oceanic
2012,50,Allianz,Insurance,Germany,134441,3304,832756,56270,Europe
