Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth,Region
2009,Australia,Banking,135900,1772680,14100,101640,9.32346553,6.31784759,-10.70297657,-46.67645979,Oceanic
2009,Australia,Business Services & Supplies,4610,5640,690,4090,14.39205955,12.5748503,-46.51162791,-70.40520984,Oceanic
2009,Australia,Chemicals,7470,12290,910,5280,52.44897959,131.8867925,111.627907,-37.58865248,Oceanic
2009,Australia,Conglomerates,31870,35430,1000,12960,288.1851401,245.3216374,49.25373134,-32.67532468,Oceanic
2009,Australia,Diversified Financials,58780,457940,1460,39550,11.38904681,6.947850253,-88.79508826,-67.89772727,Oceanic
2009,Australia,Drugs & Biotechnology,3400,4340,670,14120,25.92592593,26.1627907,45.65217391,-24.85364556,Oceanic
2009,Australia,Food Markets,54550,17570,1750,22510,23.55605889,21.17241379,41.12903226,-37.33296214,Oceanic
2009,Australia,"Food, Drink & Tobacco",7040,11170,380,10980,-4.08719346,-6.448911223,-65.13761468,-32.13844252,Oceanic
2009,Australia,"Hotels, Restaurants & Leisure",1920,7100,3410,2390,-59.66386555,-41.41914191,459.0163934,-83.92737054,Oceanic
2009,Australia,Insurance,16950,51820,1030,16560,1.985559567,-1.744406523,-52.31481481,-34.41584158,Oceanic
2009,Australia,Materials,149290,191410,20660,152210,70.59764598,7.727375056,-9.742245522,-62.97854745,Oceanic
2009,Australia,Media,2790,8000,1330,2310,12.5,-8.045977011,-56.25,-56,Oceanic
2009,Australia,Oil & Gas Operations,10010,20110,2700,24140,88.15789474,36.80272109,76.47058824,-44.84806945,Oceanic
2009,Australia,Telecommunications Services,23600,36390,3530,28220,17.35454998,13.08266004,27.89855072,-50.21171489,Oceanic
2009,Australia,Transportation,19370,40780,2220,7580,-13.52678571,-24.38346004,-11.2,-70.68832173,Oceanic
2009,Australia,Utilities,13110,21030,710,11360,54.05405405,-14.16326531,-4.054054054,-3.728813559,Oceanic
2009,Austria,Banking,38790,534520,3410,15910,41.31147541,27.51866784,10,-73.51864181,Europe
2009,Austria,Construction,14420,11180,250,1490,15.91639871,54.63347165,0,-78.80512091,Europe
2009,Austria,Diversified Financials,1450,24150,470,450,98.63013699,39.9188876,-25.3968254,-91,Europe
2009,Austria,Insurance,18140,72980,820,5130,22.81651997,23.06913997,51.85185185,-56.92695214,Europe
2009,Austria,Materials,16560,19350,1130,2540,75.79617834,115.7190635,11.88118812,-74.02862986,Europe
2009,Austria,Oil & Gas Operations,35570,29520,1910,7910,42.10946864,26.09995728,4.945054945,-63.58195212,Europe
2009,Austria,Telecommunications Services,7200,12310,-70,5820,14.64968153,24.34343434,-109.4594595,-42.08955224,Europe
2009,Austria,Utilities,8590,20850,1220,11990,12.72965879,19.69001148,4.273504274,-57.6175327,Europe
2009,Bahrain,Banking,3660,55790,430,3990,39.1634981,29.05389776,4.87804878,-44.81327801,Asia
2009,Belgium,Banking,188390,1561950,-7680,8490,5.404800537,2.952226529,-190.887574,-88.4458356,Europe
2009,Belgium,Chemicals,13220,16150,560,4850,-5.368647101,3.791773779,-50.87719298,-54.6728972,Europe
2009,Belgium,Drugs & Biotechnology,4650,13660,230,5020,0,0.146627566,0,-41.49184149,Europe
2009,Belgium,Food Markets,36630,16330,990,13170,13.33539604,9.892328398,22.22222222,-16.38095238,Europe
2009,Belgium,"Food, Drink & Tobacco",22410,112240,1790,43800,6.359753204,174.2242854,-44.23676012,-21.6317767,Europe
2009,Belgium,Materials,12770,4080,170,1720,-21.75245098,-48.48484848,-88.27586207,-80.63063063,Europe
2009,Belgium,Retailing,8710,7910,180,690,23.72159091,19.12650602,38.46153846,-64.79591837,Europe
2009,Belgium,Telecommunications Services,8230,10390,1110,11110,3.652392947,13.304253,-13.28125,-31.03662322,Europe
2009,Bermuda,Capital Goods,6520,6160,630,3520,10.50847458,0.489396411,-8.695652174,-52.36806495,NorthAmerica
2009,Bermuda,Conglomerates,33020,48300,-1150,14010,17.71836007,3.094983991,-169.2771084,-54.55724943,NorthAmerica
2009,Bermuda,Construction,6850,3010,530,1900,34.05088063,-7.384615385,35.8974359,-79.85153765,NorthAmerica
2009,Bermuda,Diversified Financials,6990,42320,460,4850,-34.05660377,-47.29763387,-39.47368421,-62.66358737,NorthAmerica
2009,Bermuda,"Food, Drink & Tobacco",52570,20230,1060,5700,17.34375,-8.12897366,35.8974359,-57.46268657,NorthAmerica
2009,Bermuda,Health Care Equipment & Services,10050,15870,1330,15960,-2.992277992,-15.67481403,-611.5384615,-25.2108716,NorthAmerica
2009,Bermuda,IT Software & Services,25680,10930,1790,21040,14.69405985,1.674418605,33.58208955,-20.8427389,NorthAmerica
2009,Bermuda,Insurance,34070,179770,-640,27250,-32.76100257,-26.30866981,-107.2153326,-55.51020408,NorthAmerica
2009,Bermuda,Oil & Gas Operations,7490,22770,350,5640,-48.13019391,-30.02458513,-85.77235772,-86.77298311,NorthAmerica
2009,Bermuda,Technology Hardware & Equipment,14090,20250,800,4340,0.356125356,-18.90268322,63.26530612,-72.94264339,NorthAmerica
2009,Brazil,Aerospace & Defense,5610,8610,370,2010,43.47826087,15.26104418,27.5862069,-75.78313253,SouthAmerica
2009,Brazil,Banking,131460,787920,10410,72170,13.93655746,15.20814142,-8.523725835,-55.17391304,SouthAmerica
2009,Brazil,Business Services & Supplies,900,6280,520,7080,23.28767123,-16.6002656,33.33333333,-31.79190751,SouthAmerica
2009,Brazil,Chemicals,7690,9440,-1070,1210,-15.21499449,-54.81091431,-482.1428571,-69.05370844,SouthAmerica
2009,Brazil,Diversified Financials,2930,13430,960,8420,42.92682927,160.776699,65.51724138,-72.86496938,SouthAmerica
2009,Brazil,Food Markets,8370,6580,120,2850,28.76923077,29.78303748,200,-42.19066937,SouthAmerica
2009,Brazil,"Food, Drink & Tobacco",17850,11440,400,3530,268.8016529,151.9823789,2.564102564,-7.591623037,SouthAmerica
2009,Brazil,Materials,70800,143780,15040,88340,18.1772659,15.18987342,8.906589428,-62.75559678,SouthAmerica
2009,Brazil,Oil & Gas Operations,103270,128310,14220,121740,5.647058824,-5.075090627,27.76280323,-48.99233251,SouthAmerica
2009,Brazil,Telecommunications Services,9870,15860,1320,5210,-30.04961021,-25.99160056,33.33333333,-75.76744186,SouthAmerica
2009,Brazil,Transportation,1320,2360,330,3930,0,-0.840336134,0,-43.04347826,SouthAmerica
2009,Brazil,Utilities,31330,107540,4030,31650,16.94662187,6.233330041,13.84180791,-46.55521783,SouthAmerica
2009,Canada,Aerospace & Defense,19560,21250,940,4090,37.35955056,19.6509009,261.5384615,-59.38430983,NorthAmerica
2009,Canada,Banking,103580,2211840,10620,111530,-32.15876343,-7.343903818,-48.44660194,-49.52251641,NorthAmerica
2009,Canada,Chemicals,19480,20070,4820,30310,5.582655827,-1.617647059,138.6138614,-53.2541641,NorthAmerica
2009,Canada,Construction,5760,5490,250,3450,30.31674208,3.001876173,78.57142857,-48.04216867,NorthAmerica
2009,Canada,Consumer Durables,23700,13010,70,2900,-9.090909091,-13.6122178,-89.39393939,-66.08187135,NorthAmerica
2009,Canada,Diversified Financials,64690,196430,1120,15820,8.159170707,0.015274949,-63.15789474,-58.79135191,NorthAmerica
2009,Canada,Food Markets,63900,27690,1340,14090,-6.332453826,-1.001072578,8.064516129,-2.894555479,NorthAmerica
