Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Grand Total
Argentina,,,,,,,,1,2,3,3,2,2,2,1,16
Australia,51,46,46,41,44,42,36,34,35,39,39,36,32,31,30,582
Austria,13,13,12,11,12,11,10,7,8,8,8,8,9,9,9,148
Bahrain,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,23
Bangladesh,,,,,,,,,,,,,,1,,1
Belgium,12,12,12,14,12,11,11,9,9,9,10,10,8,9,7,155
Bermuda,24,19,20,13,10,9,9,8,7,9,6,5,7,6,3,155
Brazil,34,31,33,36,32,31,25,24,19,20,19,21,18,21,23,387
Canada,59,55,62,67,66,65,57,52,54,58,51,55,61,56,64,882
Cayman Islands,4,3,2,,1,,1,,,,,,1,,1,13
Channel Islands,1,,,,2,3,,,,,,,,,,6
Chile,7,8,8,9,9,9,8,8,8,7,9,8,6,5,6,115
China,70,91,113,121,136,136,149,179,199,200,230,250,266,291,297,2728
Colombia,2,3,3,6,6,6,6,5,5,6,6,6,5,3,3,71
Croatia,,,,1,1,,,,,,,,,,,2
Cyprus,,,,,1,,,1,,,1,,1,1,,5
Czech Republic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
Denmark,9,12,13,10,10,10,14,11,11,12,14,12,11,12,11,172
Egypt,3,3,5,4,1,2,1,1,1,1,,1,1,1,1,26
Finland,16,13,11,12,12,12,12,10,8,9,9,10,10,9,9,162
France,67,72,64,67,63,64,66,61,61,60,57,56,57,53,54,922
Germany,59,57,57,53,52,50,52,52,49,51,53,53,51,54,52,795
Greece,12,13,13,12,11,10,8,8,6,6,5,4,5,4,5,122
Hong Kong,39,42,49,46,48,46,58,52,49,62,58,57,58,59,54,777
Hungary,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30
Iceland,4,,,,,,,,,,,,,,,4
India,48,47,56,57,61,56,54,56,56,58,57,55,50,50,55,816
Indonesia,6,6,10,11,10,9,9,7,6,6,6,6,6,6,7,111
Ireland,10,9,16,16,18,17,19,19,19,20,18,19,21,18,21,260
Israel,10,13,11,12,11,10,10,10,10,9,10,9,12,10,13,160
Italy,37,41,38,36,34,30,30,30,27,26,26,27,26,23,26,457
Japan,259,288,270,260,258,251,226,219,218,229,228,222,217,215,196,3556
Jordan,1,2,2,1,1,1,1,1,1,1,1,1,1,,,15
Kazakhstan,,1,2,1,2,2,3,1,1,,1,1,1,2,2,20
Kenya,,,,,,,,,,,1,1,1,1,,4
Kuwait,7,9,6,5,3,4,4,5,4,3,3,4,3,3,3,66
Lebanon,,,2,2,2,2,2,2,2,2,2,2,2,,,22
Liberia,1,1,1,1,1,1,,,,,,,,,,6
Liechtenstein,,1,1,1,1,,,,,,,,,,,4
Luxembourg,8,9,8,8,7,7,7,7,5,5,8,7,7,6,9,108
Malaysia,15,19,18,20,18,20,17,16,14,14,13,9,10,8,7,218
Malta,,,,,,,,,1,,,,,,,1
Mauritius,,,,,,,1,,,,,,,,,1
Mexico,16,18,18,18,16,19,16,13,15,15,12,13,12,10,9,220
Monaco,,,,,,,,,,,1,1,1,1,,4
Mongolia,,,,,,,,,,1,,,,,,1
Morocco,2,3,2,3,2,2,3,3,3,3,4,3,2,3,2,40
Netherlands,26,23,24,26,24,24,27,25,22,23,22,25,26,20,24,361
New Zealand,2,2,,,,1,,,,,,,,,,5
Nigeria,,3,1,1,2,1,5,4,4,2,2,2,1,2,1,31
Norway,14,9,10,10,9,10,9,8,8,9,9,8,8,8,8,137
Oman,,,1,1,1,1,1,1,1,1,1,1,1,1,,12
Pakistan,2,2,1,2,1,1,2,1,2,1,,,,,,15
Panama,2,2,2,1,1,1,,,,,,,,,,9
Papua New Guinea,,2,,,,,,,,,,,,,,2
Peru,2,2,3,2,2,2,1,2,2,2,2,2,2,1,1,28
Philippines,2,3,3,4,8,8,10,8,9,8,6,5,7,6,5,92
Poland,4,4,6,6,7,8,7,6,5,5,6,7,6,7,8,92
Portugal,10,9,9,8,7,6,8,6,5,5,5,4,4,4,4,94
Puerto Rico,,,,,,,1,1,,1,1,1,1,,,6
Qatar,4,6,6,9,10,8,8,9,9,8,6,6,6,6,5,106
Romania,,,,,,,,,1,,,,,,,1
Russia,29,28,28,26,28,30,28,27,25,27,25,23,23,24,23,394
Saudi Arabia,11,15,17,14,17,17,20,20,21,17,15,15,14,13,16,242
Singapore,18,17,18,19,18,20,17,20,17,17,15,13,12,9,11,241
South Africa,19,19,25,17,20,19,15,13,13,10,11,12,10,15,13,231
South Korea,52,61,51,61,68,64,61,66,67,64,67,62,58,62,65,929
Spain,29,33,29,27,28,28,27,27,26,23,25,22,25,21,21,391
Sweden,29,22,27,28,25,26,26,24,23,26,27,25,26,32,32,398
Switzerland,37,45,48,47,45,48,48,46,45,46,41,40,41,42,40,659
Taiwan,42,45,39,40,42,41,47,47,47,46,47,47,43,45,48,666
Thailand,14,10,14,17,16,15,17,16,15,14,16,15,15,14,14,222
Togo,,,,,,,1,,,,,,,,,1
Turkey,14,13,12,12,11,14,12,12,11,10,10,9,8,9,9,166
